player_hand_val,dealer_up_card,action,splittable
5 / 15,6,double down,False
6 / 16,6,double down,False
7 / 17,6,double down,False
8 / 18,6,double down,False
9 / 19,6,double down,False
10 / 20,6,stand,False
11 / 21,6,stand,False
3 / 13,7,hit,False
4 / 14,7,hit,False
5 / 15,7,hit,False
6 / 16,7,hit,False
7 / 17,7,hit,False
8 / 18,7,stand,False
9 / 19,7,stand,False
10 / 20,7,stand,False
11 / 21,7,stand,False
3 / 13,8,hit,False
4 / 14,8,hit,False
5 / 15,8,hit,False
6 / 16,8,hit,False
7 / 17,8,hit,False
8 / 18,8,stand,False
9 / 19,8,stand,False
10 / 20,8,stand,False
11 / 21,8,stand,False
3 / 13,9,hit,False
4 / 14,9,hit,False
5 / 15,9,hit,False
6 / 16,9,hit,False
7 / 17,9,hit,False
8 / 18,9,hit,False
9 / 19,9,stand,False
10 / 20,9,stand,False
11 / 21,9,stand,False
3 / 13,10,hit,False
4 / 14,10,hit,False
5 / 15,10,hit,False
6 / 16,10,hit,False
7 / 17,10,hit,False
8 / 18,10,hit,False
9 / 19,10,stand,False
10 / 20,10,stand,False
11 / 21,10,stand,False
3 / 13,11,hit,False
4 / 14,11,hit,False
5 / 15,11,hit,False
6 / 16,11,hit,False
7 / 17,11,hit,False
8 / 18,11,hit,False
9 / 19,11,stand,False
10 / 20,11,stand,False
11 / 21,11,stand,False
4,2,split,True
6,2,split,True
8,2,hit,True
10,2,double down,True
12,2,split,True
14,2,split,True
16,2,split,True
18,2,split,True
20,2,stand,True
2 / 12,2,split,True
4,3,split,True
6,3,split,True
8,3,hit,True
10,3,double down,True
12,3,split,True
14,3,split,True
16,3,split,True
18,3,split,True
20,3,stand,True
2 / 12,3,split,True
4,4,split,True
6,4,split,True
8,4,hit,True
10,4,double down,True
12,4,split,True
14,4,split,True
16,4,split,True
18,4,split,True
20,4,stand,True
2 / 12,4,split,True
4,5,split,True
6,5,split,True
8,5,split,True
10,5,double down,True
12,5,split,True
14,5,split,True
16,5,split,True
18,5,split,True
20,5,stand,True
2 / 12,5,split,True
4,6,split,True
6,6,split,True
8,6,split,True
10,6,double down,True
12,6,split,True
14,6,split,True
16,6,split,True
18,6,split,True
20,6,stand,True
2 / 12,6,split,True
4,7,split,True
6,7,split,True
8,7,hit,True
10,7,double down,True
12,7,hit,True
14,7,split,True
16,7,split,True
18,7,stand,True
20,7,stand,True
2 / 12,7,split,True
4,8,hit,True
6,8,hit,True
8,8,hit,True
10,8,double down,True
12,8,hit,True
14,8,hit,True
16,8,split,True
18,8,split,True
20,8,stand,True
2 / 12,8,split,True
4,9,hit,True
6,9,hit,True
8,9,hit,True
10,9,double down,True
12,9,hit,True
14,9,hit,True
16,9,split,True
18,9,split,True
20,9,stand,True
2 / 12,9,split,True
4,10,hit,True
6,10,hit,True
8,10,hit,True
10,10,hit,True
12,10,hit,True
14,10,hit,True
16,10,split,True
18,10,stand,True
20,10,stand,True
2 / 12,10,split,True
4,11,hit,True
6,11,hit,True
8,11,hit,True
10,11,hit,True
12,11,hit,True
14,11,hit,True
16,11,split,True
18,11,stand,True
20,11,stand,True
2 / 12,11,split,True
